序号,院系名称,专业名称,班级名称,学号,姓名（可能有重名）,实验项目名称,上课周次,上课星期,开始节次,结束节次,上课教师,实验人数,课时
86,学院005,专业012,班级021,S000000321,学生321,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
87,学院005,专业060,班级136,S000002305,学生2285,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
88,学院005,专业012,班级144,S000002621,学生2598,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
89,学院006,专业032,班级048,S000000742,学生742,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
90,学院006,专业033,班级049,S000001954,学生1941,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
91,学院011,专业028,班级043,S000002035,学生2021,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
92,学院007,专业016,班级029,S000000570,学生570,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
93,学院005,专业047,班级070,S000001147,学生1142,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
94,学院002,专业004,班级013,S000001343,学生1337,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
95,学院004,专业010,班级019,S000000197,学生197,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
96,学院009,专业026,班级064,S000001042,学生1038,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
97,学院001,专业006,班级009,S000002164,学生2147,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
98,学院009,专业061,班级088,S000001250,学生1244,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
99,学院009,专业023,班级038,S000001729,学生1719,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
100,学院009,专业066,班级101,S000001773,学生1761,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
101,学院014,专业067,班级118,S000001555,学生1546,RLC串联电路的暂态过程 大物2,7周,星期日,3,5,教师034,20,3
102,学院005,专业017,班级030,S000002758,学生2733,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
103,学院009,专业043,班级066,S000001077,学生1073,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
104,学院001,专业001,班级001,S000002798,学生2773,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
105,学院004,专业011,班级017,S000000190,学生190,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
106,学院005,专业012,班级021,S000000247,学生247,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
107,学院005,专业060,班级136,S000002303,学生2283,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
108,学院005,专业012,班级144,S000002617,学生2594,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
109,学院005,专业013,班级022,S000000269,学生269,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
110,学院006,专业033,班级049,S000000743,学生743,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
111,学院011,专业028,班级043,S000002012,学生1998,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
112,学院011,专业028,班级112,S000001516,学生1507,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
113,学院005,专业047,班级070,S000001144,学生1139,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
114,学院001,专业003,班级003,S000000035,学生035,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
115,学院004,专业010,班级016,S000000186,学生186,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
116,学院009,专业026,班级064,S000001025,学生1021,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
117,学院001,专业006,班级009,S000002170,学生2153,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
118,学院009,专业061,班级088,S000001249,学生1243,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
119,学院009,专业023,班级038,S000001727,学生1717,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
120,学院014,专业088,班级167,S000002857,学生2830,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
121,学院014,专业067,班级118,S000001995,学生197,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
122,学院001,专业003,班级135,S000002156,学生2139,RLC串联电路的暂态过程 大物2,7周,星期日,8,10,教师034,21,3
123,学院005,专业017,班级030,S000002773,学生2748,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
124,学院009,专业043,班级066,S000001081,学生1077,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
125,学院001,专业001,班级001,S000000001,学生001,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
126,学院004,专业011,班级017,S000000228,学生228,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
127,学院005,专业012,班级021,S000000288,学生288,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
128,学院005,专业060,班级136,S000002309,学生2289,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
129,学院005,专业012,班级144,S000002631,学生2608,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
130,学院005,专业013,班级022,S000000258,学生258,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
131,学院006,专业033,班级049,S000001053,学生1049,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
132,学院009,专业027,班级098,S000001892,学生1879,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
133,学院007,专业016,班级029,S000000577,学生577,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
134,学院005,专业047,班级070,S000001138,学生1133,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
135,学院002,专业004,班级013,S000001342,学生1336,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
136,学院004,专业010,班级019,S000000171,学生171,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
137,学院009,专业026,班级064,S000001003,学生999,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
138,学院001,专业006,班级009,S000002176,学生2159,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
139,学院009,专业061,班级088,S000001294,学生1288,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
140,学院009,专业023,班级038,S000001756,学生979,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
141,学院014,专业088,班级167,S000002828,学生2801,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
142,学院014,专业067,班级118,S000002221,学生2203,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
143,学院001,专业082,班级140,S000002178,学生2161,RLC串联电路的暂态过程 大物2,7周,星期日,11,13,教师034,21,3
144,学院005,专业017,班级030,S000002763,学生2738,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
145,学院009,专业043,班级091,S000001623,学生1614,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
146,学院001,专业001,班级001,S000001903,学生1890,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
147,学院004,专业011,班级018,S000000229,学生229,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
148,学院005,专业012,班级021,S000000300,学生300,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
149,学院005,专业012,班级102,S000002199,学生2182,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
150,学院005,专业012,班级144,S000002627,学生2604,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
151,学院005,专业013,班级022,S000000286,学生286,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
152,学院006,专业033,班级049,S000002429,学生2409,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
153,学院009,专业027,班级098,S000001875,学生1862,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
154,学院007,专业016,班级029,S000000572,学生572,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
155,学院005,专业047,班级070,S000001150,学生1145,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
156,学院011,专业054,班级106,S000002729,学生2704,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
157,学院004,专业010,班级019,S000000169,学生169,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
158,学院009,专业026,班级064,S000001037,学生1033,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
159,学院011,专业054,班级082,S000002056,学生2041,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
160,学院009,专业061,班级089,S000001286,学生1280,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
161,学院009,专业023,班级038,S000001755,学生1744,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
162,学院014,专业088,班级167,S000002870,学生2842,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
163,学院014,专业067,班级118,S000001992,学生1979,RLC串联电路的暂态过程 大物2,8周,星期一,3,5,教师036,20,3
164,学院005,专业017,班级030,S000002762,学生2737,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
165,学院009,专业043,班级066,S000001073,学生1069,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
166,学院001,专业001,班级001,S000001916,学生1903,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
167,学院004,专业011,班级018,S000000111,学生111,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
168,学院001,专业001,班级008,S000000544,学生544,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
169,学院005,专业012,班级102,S000002202,学生1993,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
170,学院005,专业012,班级144,S000002626,学生2603,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
171,学院005,专业013,班级022,S000000302,学生302,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
172,学院006,专业033,班级049,S000002427,学生2407,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
173,学院009,专业027,班级098,S000001894,学生1881,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
174,学院007,专业016,班级029,S000000583,学生583,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
175,学院005,专业047,班级070,S000001146,学生1141,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
176,学院002,专业004,班级013,S000000084,学生084,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
177,学院004,专业010,班级019,S000000170,学生170,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
178,学院009,专业026,班级064,S000001006,学生1002,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
179,学院001,专业006,班级009,S000002165,学生2148,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
180,学院009,专业061,班级089,S000001285,学生1279,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
181,学院009,专业023,班级038,S000001762,学生1750,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
182,学院009,专业066,班级101,S000001734,学生1723,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
183,学院002,专业046,班级069,S000001122,学生1117,RLC串联电路的暂态过程 大物2,8周,星期二,3,5,教师017,20,3
184,学院005,专业017,班级030,S000002778,学生2753,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
185,学院009,专业043,班级091,S000001620,学生1611,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
186,学院001,专业001,班级001,S000001914,学生1901,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
187,学院004,专业011,班级018,S000000191,学生191,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
188,学院001,专业001,班级008,S000000543,学生543,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
189,学院005,专业012,班级102,S000002208,学生2190,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
190,学院005,专业012,班级144,S000002640,学生2617,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
191,学院006,专业032,班级048,S000002443,学生2423,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
192,学院006,专业033,班级049,S000000816,学生815,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
193,学院011,专业028,班级043,S000002018,学生2004,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
194,学院011,专业028,班级112,S000001519,学生1510,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
195,学院005,专业047,班级070,S000001130,学生1125,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
196,学院001,专业003,班级003,S000000526,学生526,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
197,学院004,专业010,班级019,S000000221,学生221,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
198,学院009,专业026,班级064,S000001030,学生1026,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
199,学院001,专业006,班级009,S000002169,学生2152,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
200,学院009,专业061,班级089,S000001299,学生1293,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
201,学院009,专业023,班级038,S000002374,学生2354,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
202,学院014,专业088,班级167,S000002858,学生2831,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
203,学院002,专业046,班级069,S000001124,学生1119,RLC串联电路的暂态过程 大物2,8周,星期二,8,10,教师017,20,3
204,学院005,专业017,班级030,S000002767,学生2742,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
205,学院009,专业043,班级066,S000001072,学生1068,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
206,学院001,专业001,班级001,S000001896,学生1883,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
207,学院004,专业011,班级017,S000000135,学生135,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
208,学院001,专业001,班级008,S000000492,学生492,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
209,学院005,专业012,班级102,S000002198,学生2181,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
210,学院005,专业012,班级144,S000002634,学生2611,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
211,学院005,专业013,班级022,S000000301,学生301,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
212,学院006,专业081,班级138,S000002344,学生2324,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
213,学院009,专业027,班级098,S000001871,学生1858,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
214,学院007,专业016,班级029,S000000473,学生473,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
215,学院001,专业002,班级002,S000000541,学生541,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
216,学院001,专业003,班级003,S000000490,学生490,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
217,学院004,专业010,班级019,S000000154,学生154,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
218,学院009,专业026,班级064,S000001043,学生1039,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
219,学院001,专业006,班级009,S000002166,学生2149,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
220,学院009,专业061,班级088,S000001279,学生1273,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
221,学院009,专业023,班级038,S000001763,学生1751,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
222,学院009,专业066,班级101,S000001775,学生1763,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
223,学院002,专业046,班级069,S000001126,学生1121,RLC串联电路的暂态过程 大物2,8周,星期四,3,5,教师017,20,3
224,学院005,专业017,班级030,S000001304,学生1298,RLC串联电路的暂态过程 大物2,8周,星期四,8,10,教师017,20,3
225,学院009,专业043,班级066,S000001114,学生1109,RLC串联电路的暂态过程 大物2,8周,星期四,8,10,教师017,20,3
226,学院001,专业001,班级001,S000001922,学生1909,RLC串联电路的暂态过程 大物2,8周,星期四,8,10,教师017,20,3
227,学院004,专业011,班级017,S000000235,学生235,RLC串联电路的暂态过程 大物2,8周,星期四,8,10,教师017,20,3
228,学院001,专业001,班级008,S000000040,学生040,RLC串联电路的暂态过程 大物2,8周,星期四,8,10,教师017,20,3
